Species1,Species3,Match.type
Alisterus amboinensis,Alisterus amboinensis,1BL to 1BT
Alisterus chloropterus,Alisterus chloropterus,1BL to 1BT
Alisterus scapularis,Alisterus scapularis,1BL to 1BT
Alle alle,Alle alle,1BL to 1BT
Allenia fusca,Margarops fuscus,1BL to 1BT
Alopecoenas beccarii,Gallicolumba beccarii,Many BL to 1BT
Alopecoenas canifrons,Gallicolumba canifrons,1BL to 1BT
Alopecoenas erythropterus,Gallicolumba erythroptera,1BL to 1BT
Alopecoenas ferrugineus,NA ,Extinct
Alopecoenas hoedtii,Gallicolumba hoedtii,1BL to 1BT
Alopecoenas jobiensis,Gallicolumba jobiensis,1BL to 1BT
Alopecoenas johannae,Gallicolumba beccarii,Many BL to 1BT
Alopecoenas kubaryi,Gallicolumba kubaryi,1BL to 1BT
Alopecoenas rubescens,Gallicolumba rubescens,1BL to 1BT
Alopecoenas salamonis,NA ,Extinct
Alopecoenas sanctaecrucis,Gallicolumba sanctaecrucis,1BL to 1BT
Alopecoenas stairi,Gallicolumba stairi,1BL to 1BT
Alopecoenas xanthonurus,Gallicolumba xanthonura,1BL to 1BT
Alophoixus bres,Alophoixus bres,Many BL to 1BT
Alophoixus flaveolus,Alophoixus flaveolus,1BL to 1BT
Alophoixus frater,Alophoixus bres,Many BL to 1BT
Alophoixus griseiceps,Alophoixus pallidus,Many BL to 1BT
Alophoixus ochraceus,Alophoixus ochraceus,Many BL to 1BT
Alophoixus pallidus,Alophoixus pallidus,Many BL to 1BT
Alophoixus phaeocephalus,Alophoixus phaeocephalus,1BL to 1BT
Alophoixus ruficrissus,Alophoixus ochraceus,Many BL to 1BT
Alophoixus tephrogenys,Alophoixus bres,Many BL to 1BT
Alopochelidon fucata,Alopochelidon fucata,1BL to 1BT
Alopochen aegyptiaca,Alopochen aegyptiaca,1BL to 1BT
Alopochen kervazoi,NA ,Extinct
Alopochen mauritiana,NA ,Extinct
Amadina erythrocephala,Amadina erythrocephala,1BL to 1BT
Amadina fasciata,Amadina fasciata,1BL to 1BT
Amalocichla incerta,Amalocichla incerta,1BL to 1BT
Amalocichla sclateriana,Amalocichla sclateriana,1BL to 1BT
Amandava amandava,Amandava amandava,1BL to 1BT
Amandava formosa,Amandava formosa,1BL to 1BT
Amandava subflava,Amandava subflava,1BL to 1BT
Amaurocichla bocagii,Amaurocichla bocagei,1BL to 1BT
Amaurolimnas concolor,Amaurolimnas concolor,1BL to 1BT
Amaurornis cinerea,Porzana cinerea,1BL to 1BT
Amaurornis isabellina,Amaurornis isabellina,1BL to 1BT
Amaurornis magnirostris,Amaurornis magnirostris,1BL to 1BT
Amaurornis marginalis,Aenigmatolimnas marginalis,1BL to 1BT
Amaurornis moluccana,Amaurornis moluccana,1BL to 1BT
Amaurornis olivacea,Amaurornis olivacea,1BL to 1BT
Amaurornis phoenicurus,Amaurornis phoenicurus,1BL to 1BT
Amaurospiza relicta,Amaurospiza concolor,1BL to 1BT
Amazilia alfaroana,Amazilia cyanifrons,Many BL to 1BT
Amazilia amabilis,Amazilia amabilis,1BL to 1BT
Amazilia amazilia,Amazilia amazilia,1BL to 1BT
Amazilia bartletti,Amazilia lactea,Many BL to 1BT
Amazilia beryllina,Amazilia beryllina,1BL to 1BT
Amazilia boucardi,Amazilia boucardi,1BL to 1BT
Amazilia brevirostris,Amazilia brevirostris,1BL to 1BT
Amazilia candida,Amazilia candida,1BL to 1BT
Amazilia castaneiventris,Amazilia castaneiventris,1BL to 1BT
Amazilia chionogaster,Amazilia chionogaster,1BL to 1BT
Amazilia chrysura,Hylocharis chrysura,1BL to 1BT
Amazilia coeruleogularis,Lepidopyga coeruleogularis,1BL to 1BT
Amazilia cupreicauda,Amazilia viridigaster,Many BL to 1BT
Amazilia cyanifrons,Amazilia cyanifrons,Many BL to 1BT
Amazilia cyanocephala,Amazilia cyanocephala,1BL to 1BT
Amazilia cyanura,Amazilia cyanura,1BL to 1BT
Amazilia cyanus,Hylocharis cyanus,1BL to 1BT
Amazilia decora,Amazilia decora,1BL to 1BT
Amazilia edward,Amazilia edward,1BL to 1BT
Amazilia eliciae,Hylocharis eliciae,1BL to 1BT
Amazilia fimbriata,Amazilia fimbriata,1BL to 1BT
Amazilia franciae,Amazilia franciae,1BL to 1BT
Amazilia goudoti,Lepidopyga goudoti,1BL to 1BT
Amazilia grayi,Hylocharis grayi,1BL to 1BT
Amazilia humboldtii,Hylocharis humboldtii,1BL to 1BT
Amazilia julie,Damophila julie,1BL to 1BT
Amazilia lactea,Amazilia lactea,Many BL to 1BT
Amazilia leucogaster,Amazilia leucogaster,1BL to 1BT
Amazilia lilliae,Lepidopyga lilliae,1BL to 1BT
Amazilia luciae,Amazilia luciae,1BL to 1BT
Amazilia oenone,Chrysuronia oenone,1BL to 1BT
Amazilia rosenbergi,Amazilia rosenbergi,1BL to 1BT
Amazilia rutila,Amazilia rutila,1BL to 1BT
Amazilia sapphirina,Hylocharis sapphirina,1BL to 1BT
Amazilia saucerottei,Amazilia saucerrottei,1BL to 1BT
Amazilia tobaci,Amazilia tobaci,1BL to 1BT
Amazilia tzacatl,Amazilia tzacatl,1BL to 1BT
Amazilia versicolor,Amazilia versicolor,1BL to 1BT
Amazilia violiceps,Amazilia violiceps,1BL to 1BT
Amazilia viridicauda,Amazilia viridicauda,1BL to 1BT
Amazilia viridifrons,Amazilia viridifrons,Many BL to 1BT
Amazilia viridigaster,Amazilia viridigaster,Many BL to 1BT
Amazilia wagneri,Amazilia viridifrons,Many BL to 1BT
Amazilia yucatanensis,Amazilia yucatanensis,1BL to 1BT
Amazona aestiva,Amazona aestiva,1BL to 1BT
Amazona agilis,Amazona agilis,1BL to 1BT
Amazona albifrons,Amazona albifrons,1BL to 1BT
Amazona amazonica,Amazona amazonica,1BL to 1BT
Amazona arausiaca,Amazona arausiaca,1BL to 1BT
Amazona auropalliata,Amazona auropalliata,1BL to 1BT
Amazona autumnalis,Amazona autumnalis,Many BL to 1BT
Amazona barbadensis,Amazona barbadensis,1BL to 1BT
Amazona bodini,Amazona festiva,Many BL to 1BT
