Species1,Species3,Match.type
Theristicus caudatus,Theristicus caudatus,1BL to 1BT
Theristicus melanopis,Theristicus melanopis,Many BL to 1BT
Thescelocichla leucopleura,Thescelocichla leucopleura,1BL to 1BT
Thinocorus orbignyianus,Thinocorus orbignyianus,1BL to 1BT
Thinocorus rumicivorus,Thinocorus rumicivorus,1BL to 1BT
Thinornis cucullatus,Thinornis rubricollis,1BL to 1BT
Thinornis novaeseelandiae,Thinornis novaeseelandiae,1BL to 1BT
Thlypopsis fulviceps,Thlypopsis fulviceps,1BL to 1BT
Thlypopsis inornata,Thlypopsis inornata,1BL to 1BT
Thlypopsis ornata,Thlypopsis ornata,1BL to 1BT
Thlypopsis pectoralis,Thlypopsis pectoralis,1BL to 1BT
Thlypopsis pyrrhocoma,Pyrrhocoma ruficeps,1BL to 1BT
Thlypopsis ruficeps,Thlypopsis ruficeps,1BL to 1BT
Thlypopsis sordida,Thlypopsis sordida,1BL to 1BT
Thlypopsis superciliaris,Hemispingus superciliaris,1BL to 1BT
Threnetes leucurus,Threnetes leucurus,1BL to 1BT
Threnetes niger,Threnetes niger,1BL to 1BT
Threnetes ruckeri,Threnetes ruckeri,1BL to 1BT
Threskiornis aethiopicus,Threskiornis aethiopicus,1BL to 1BT
Threskiornis bernieri,Threskiornis bernieri,1BL to 1BT
Threskiornis melanocephalus,Threskiornis melanocephalus,1BL to 1BT
Threskiornis moluccus,Threskiornis molucca,1BL to 1BT
Threskiornis solitarius,NA ,Extinct
Threskiornis spinicollis,Threskiornis spinicollis,1BL to 1BT
Thripadectes flammulatus,Thripadectes flammulatus,1BL to 1BT
Thripadectes holostictus,Thripadectes holostictus,1BL to 1BT
Thripadectes ignobilis,Thripadectes ignobilis,1BL to 1BT
Thripadectes melanorhynchus,Thripadectes melanorhynchus,1BL to 1BT
Thripadectes rufobrunneus,Thripadectes rufobrunneus,1BL to 1BT
Thripadectes scrutator,Thripadectes scrutator,1BL to 1BT
Thripadectes virgaticeps,Thripadectes virgaticeps,1BL to 1BT
Thripophaga amacurensis,NA ,Newly described species
Thripophaga cherriei,Thripophaga cherriei,1BL to 1BT
Thripophaga fusciceps,Thripophaga fusciceps,1BL to 1BT
Thripophaga gutturata,Cranioleuca gutturata,1BL to 1BT
Thripophaga macroura,Thripophaga macroura,1BL to 1BT
Thryomanes bewickii,Thryomanes bewickii,1BL to 1BT
Thryophilus nicefori,Thryothorus nicefori,1BL to 1BT
Thryophilus pleurostictus,Thryothorus pleurostictus,1BL to 1BT
Thryophilus rufalbus,Thryothorus rufalbus,Many BL to 1BT
Thryophilus sernai,Thryothorus rufalbus,Many BL to 1BT
Thryophilus sinaloa,Thryothorus sinaloa,1BL to 1BT
Thryorchilus browni,Thryorchilus browni,1BL to 1BT
Thryothorus albinucha,Thryothorus ludovicianus,Many BL to 1BT
Thryothorus ludovicianus,Thryothorus ludovicianus,Many BL to 1BT
Tiaris olivaceus,Tiaris olivaceus,1BL to 1BT
Tichodroma muraria,Tichodroma muraria,1BL to 1BT
Tickellia hodgsoni,Tickellia hodgsoni,1BL to 1BT
Tigriornis leucolopha,Tigriornis leucolopha,1BL to 1BT
Tigrisoma fasciatum,Tigrisoma fasciatum,1BL to 1BT
Tigrisoma lineatum,Tigrisoma lineatum,1BL to 1BT
Tigrisoma mexicanum,Tigrisoma mexicanum,1BL to 1BT
Tilmatura dupontii,Tilmatura dupontii,1BL to 1BT
Timalia pileata,Timalia pileata,1BL to 1BT
Timeliopsis fulvigula,Timeliopsis fulvigula,1BL to 1BT
Timeliopsis griseigula,Timeliopsis griseigula,1BL to 1BT
Tinamotis ingoufi,Tinamotis ingoufi,1BL to 1BT
Tinamotis pentlandii,Tinamotis pentlandii,1BL to 1BT
Tinamus guttatus,Tinamus guttatus,1BL to 1BT
Tinamus major,Tinamus major,1BL to 1BT
Tinamus osgoodi,Tinamus osgoodi,1BL to 1BT
Tinamus solitarius,Tinamus solitarius,1BL to 1BT
Tinamus tao,Tinamus tao,1BL to 1BT
Tityra braziliensis,Tityra cayana,Many BL to 1BT
Tityra cayana,Tityra cayana,Many BL to 1BT
Tityra inquisitor,Tityra inquisitor,1BL to 1BT
Tityra leucura,NA ,Newly described species
Tityra semifasciata,Tityra semifasciata,1BL to 1BT
Tmetothylacus tenellus,Tmetothylacus tenellus,1BL to 1BT
Tockus damarensis,Tockus erythrorhynchus,Many BL to 1BT
Tockus deckeni,Tockus deckeni,1BL to 1BT
Tockus erythrorhynchus,Tockus erythrorhynchus,Many BL to 1BT
Tockus flavirostris,Tockus flavirostris,1BL to 1BT
Tockus jacksoni,Tockus jacksoni,1BL to 1BT
Tockus leucomelas,Tockus leucomelas,1BL to 1BT
Tockus monteiri,Tockus monteiri,1BL to 1BT
Todiramphus albonotatus,Todiramphus albonotatus,1BL to 1BT
Todiramphus australasia,Todiramphus australasia,1BL to 1BT
Todiramphus chloris,Todiramphus chloris,1BL to 1BT
Todiramphus cinnamominus,Todiramphus cinnamominus,Many BL to 1BT
Todiramphus diops,Todiramphus diops,1BL to 1BT
Todiramphus enigma,Todiramphus enigma,1BL to 1BT
Todiramphus farquhari,Todiramphus farquhari,1BL to 1BT
Todiramphus funebris,Todiramphus funebris,1BL to 1BT
Todiramphus gambieri,Todiramphus gambieri,1BL to 1BT
Todiramphus godeffroyi,Todiramphus godeffroyi,1BL to 1BT
Todiramphus lazuli,Todiramphus lazuli,1BL to 1BT
Todiramphus leucopygius,Todiramphus leucopygius,1BL to 1BT
Todiramphus macleayii,Todiramphus macleayii,1BL to 1BT
Todiramphus nigrocyaneus,Todiramphus nigrocyaneus,1BL to 1BT
Todiramphus pelewensis,Todiramphus cinnamominus,Many BL to 1BT
Todiramphus pyrrhopygius,Todiramphus pyrrhopygius,1BL to 1BT
Todiramphus recurvirostris,Todiramphus recurvirostris,1BL to 1BT
Todiramphus reichenbachii,Todiramphus cinnamominus,Many BL to 1BT
Todiramphus ruficollaris,Todiramphus ruficollaris,1BL to 1BT
Todiramphus sanctus,Todiramphus sanctus,1BL to 1BT
Todiramphus saurophagus,Todiramphus saurophaga,1BL to 1BT
Todiramphus tutus,Todiramphus tutus,1BL to 1BT
Todiramphus veneratus,Todiramphus veneratus,Many BL to 1BT
Todiramphus winchelli,Todiramphus winchelli,1BL to 1BT
Todiramphus youngi,Todiramphus veneratus,Many BL to 1BT
Todirostrum chrysocrotaphum,Todirostrum chrysocrotaphum,1BL to 1BT
Todirostrum cinereum,Todirostrum cinereum,1BL to 1BT
Todirostrum maculatum,Todirostrum maculatum,1BL to 1BT
Todirostrum nigriceps,Todirostrum nigriceps,1BL to 1BT
Todirostrum pictum,Todirostrum pictum,1BL to 1BT
Todirostrum poliocephalum,Todirostrum poliocephalum,1BL to 1BT
Todirostrum viridanum,Todirostrum viridanum,1BL to 1BT
Todus angustirostris,Todus angustirostris,1BL to 1BT
Todus mexicanus,Todus mexicanus,1BL to 1BT
Todus multicolor,Todus multicolor,1BL to 1BT
Todus subulatus,Todus subulatus,1BL to 1BT
Todus todus,Todus todus,1BL to 1BT
Tolmomyias assimilis,Tolmomyias assimilis,1BL to 1BT
Tolmomyias flaviventris,Tolmomyias flaviventris,1BL to 1BT
Tolmomyias flavotectus,Tolmomyias flavotectus,1BL to 1BT
Tolmomyias poliocephalus,Tolmomyias poliocephalus,1BL to 1BT
Tolmomyias sulphurescens,Tolmomyias sulphurescens,1BL to 1BT
Tolmomyias traylori,Tolmomyias traylori,1BL to 1BT
Tolmomyias viridiceps,Tolmomyias viridiceps,1BL to 1BT
Topaza pella,Topaza pella,1BL to 1BT
Topaza pyra,Topaza pyra,1BL to 1BT
Torgos tracheliotos,Torgos tracheliotos,1BL to 1BT
Torreornis inexpectata,Torreornis inexpectata,1BL to 1BT
Touit batavicus,Touit batavicus,1BL to 1BT
Touit costaricensis,Touit costaricensis,1BL to 1BT
Touit dilectissimus,Touit dilectissimus,1BL to 1BT
Touit huetii,Touit huetii,1BL to 1BT
Touit melanonotus,Touit melanonotus,1BL to 1BT
Touit purpuratus,Touit purpuratus,1BL to 1BT
Touit stictopterus,Touit stictopterus,1BL to 1BT
Touit surdus,Touit surdus,1BL to 1BT
Toxorhamphus novaeguineae,Toxorhamphus novaeguineae,1BL to 1BT
Toxorhamphus poliopterus,Toxorhamphus poliopterus,1BL to 1BT
Toxostoma bendirei,Toxostoma bendirei,1BL to 1BT
Toxostoma cinereum,Toxostoma cinereum,1BL to 1BT
Toxostoma crissale,Toxostoma crissale,1BL to 1BT
Toxostoma curvirostre,Toxostoma curvirostre,1BL to 1BT
Toxostoma guttatum,Toxostoma guttatum,1BL to 1BT
Toxostoma lecontei,Toxostoma lecontei,1BL to 1BT
Toxostoma longirostre,Toxostoma longirostre,1BL to 1BT
Toxostoma ocellatum,Toxostoma ocellatum,1BL to 1BT
Toxostoma redivivum,Toxostoma redivivum,1BL to 1BT
Toxostoma rufum,Toxostoma rufum,1BL to 1BT
Trachylaemus goffinii,Trachyphonus purpuratus,Many BL to 1BT
Trachylaemus purpuratus,Trachyphonus purpuratus,Many BL to 1BT
Trachylaemus togoensis,Trachyphonus purpuratus,Many BL to 1BT
Trachyphonus darnaudii,Trachyphonus darnaudii,Many BL to 1BT
Trachyphonus emini,Trachyphonus darnaudii,Many BL to 1BT
Trachyphonus erythrocephalus,Trachyphonus erythrocephalus,1BL to 1BT
Trachyphonus margaritatus,Trachyphonus margaritatus,1BL to 1BT
Trachyphonus usambiro,Trachyphonus usambiro,1BL to 1BT
Trachyphonus vaillantii,Trachyphonus vaillantii,1BL to 1BT
Tragopan blythii,Tragopan blythii,1BL to 1BT
Tragopan caboti,Tragopan caboti,1BL to 1BT
Tragopan melanocephalus,Tragopan melanocephalus,1BL to 1BT
Tragopan satyra,Tragopan satyra,1BL to 1BT
Tragopan temminckii,Tragopan temminckii,1BL to 1BT
Traversia lyalli,NA ,Extinct
Tregellasia capito,Tregellasia capito,1BL to 1BT
Tregellasia leucops,Tregellasia leucops,1BL to 1BT
Treron affinis,Treron pompadora,Many BL to 1BT
Treron apicauda,Treron apicauda,1BL to 1BT
Treron aromaticus,Treron pompadora,Many BL to 1BT
Treron australis,Treron australis,Many BL to 1BT
Treron axillaris,Treron pompadora,Many BL to 1BT
Treron bicinctus,Treron bicinctus,1BL to 1BT
Treron calvus,Treron calvus,Many BL to 1BT
Treron capellei,Treron capellei,1BL to 1BT
Treron chloropterus,Treron pompadora,Many BL to 1BT
Treron curvirostra,Treron curvirostra,1BL to 1BT
Treron delalandii,Treron calvus,Many BL to 1BT
Treron floris,Treron floris,1BL to 1BT
Treron formosae,Treron formosae,Many BL to 1BT
Treron fulvicollis,Treron fulvicollis,1BL to 1BT
Treron griseicauda,Treron griseicauda,1BL to 1BT
Treron griveaudi,Treron australis,Many BL to 1BT
Treron olax,Treron olax,1BL to 1BT
Treron oxyurus,Treron oxyurus,1BL to 1BT
Treron pembaensis,Treron pembaensis,1BL to 1BT
Treron permagnus,Treron formosae,Many BL to 1BT
Treron phayrei,Treron pompadora,Many BL to 1BT
Treron phoenicopterus,Treron phoenicopterus,1BL to 1BT
Treron pompadora,Treron pompadora,Many BL to 1BT
Treron psittaceus,Treron psittaceus,1BL to 1BT
Treron sanctithomae,Treron sanctithomae,1BL to 1BT
Treron seimundi,Treron seimundi,1BL to 1BT
Treron sieboldii,Treron sieboldii,1BL to 1BT
Treron sphenurus,Treron sphenurus,1BL to 1BT
Treron teysmannii,Treron teysmannii,1BL to 1BT
Treron vernans,Treron vernans,1BL to 1BT
Treron waalia,Treron waalia,1BL to 1BT
Tribonyx hodgenorum,NA ,Extinct
Tribonyx mortierii,Gallinula mortierii,1BL to 1BT
Tribonyx ventralis,Gallinula ventralis,1BL to 1BT
Trichastoma bicolor,Trichastoma bicolor,1BL to 1BT
Trichastoma buettikoferi,Trichastoma buettikoferi,1BL to 1BT
Trichastoma celebense,Trichastoma celebense,1BL to 1BT
Trichastoma cinereiceps,Malacocincla cinereiceps,1BL to 1BT
Trichastoma malaccense,Malacocincla malaccensis,1BL to 1BT
Trichastoma pyrrogenys,Trichastoma pyrrogenys,1BL to 1BT
Trichastoma rostratum,Trichastoma rostratum,1BL to 1BT
Trichastoma tickelli,Trichastoma tickelli,1BL to 1BT
Trichixos pyrropygus,Trichixos pyrropygus,1BL to 1BT
Trichodere cockerelli,Trichodere cockerelli,1BL to 1BT
Trichoglossus capistratus,Trichoglossus haematodus,Many BL to 1BT
Trichoglossus chlorolepidotus,Trichoglossus chlorolepidotus,1BL to 1BT
Trichoglossus euteles,Trichoglossus euteles,1BL to 1BT
Trichoglossus flavoviridis,Trichoglossus flavoviridis,Many BL to 1BT
Trichoglossus forsteni,Trichoglossus haematodus,Many BL to 1BT
Trichoglossus haematodus,Trichoglossus haematodus,Many BL to 1BT
Trichoglossus iris,Psitteuteles iris,1BL to 1BT
Trichoglossus johnstoniae,Trichoglossus johnstoniae,1BL to 1BT
Trichoglossus meyeri,Trichoglossus flavoviridis,Many BL to 1BT
Trichoglossus moluccanus,Trichoglossus haematodus,Many BL to 1BT
Trichoglossus ornatus,Trichoglossus ornatus,1BL to 1BT
Trichoglossus rosenbergii,Trichoglossus haematodus,Many BL to 1BT
Trichoglossus rubiginosus,Trichoglossus rubiginosus,1BL to 1BT
Trichoglossus rubritorquis,Trichoglossus haematodus,Many BL to 1BT
Trichoglossus weberi,Trichoglossus haematodus,Many BL to 1BT
Tricholaema diademata,Tricholaema diademata,1BL to 1BT
Tricholaema frontata,Tricholaema frontata,1BL to 1BT
Tricholaema hirsuta,Tricholaema hirsuta,1BL to 1BT
Tricholaema lacrymosa,Tricholaema lacrymosa,1BL to 1BT
Tricholaema leucomelas,Tricholaema leucomelas,1BL to 1BT
Tricholaema melanocephala,Tricholaema melanocephala,1BL to 1BT
Tricholestes criniger,Tricholestes criniger,1BL to 1BT
Trichothraupis melanops,Trichothraupis melanops,1BL to 1BT
Triclaria malachitacea,Triclaria malachitacea,1BL to 1BT
Trigonoceps occipitalis,Trigonoceps occipitalis,1BL to 1BT
Tringa brevipes,Heteroscelus brevipes,1BL to 1BT
Tringa erythropus,Tringa erythropus,1BL to 1BT
Tringa flavipes,Tringa flavipes,1BL to 1BT
Tringa glareola,Tringa glareola,1BL to 1BT
Tringa guttifer,Tringa guttifer,1BL to 1BT
Tringa incana,Heteroscelus incanus,1BL to 1BT
Tringa melanoleuca,Tringa melanoleuca,1BL to 1BT
Tringa nebularia,Tringa nebularia,1BL to 1BT
Tringa ochropus,Tringa ochropus,1BL to 1BT
Tringa semipalmata,Catoptrophorus semipalmatus,1BL to 1BT
Tringa solitaria,Tringa solitaria,1BL to 1BT
Tringa stagnatilis,Tringa stagnatilis,1BL to 1BT
Tringa totanus,Tringa totanus,1BL to 1BT
Trochalopteron affine,Garrulax affinis,1BL to 1BT
Trochalopteron austeni,Garrulax austeni,1BL to 1BT
Trochalopteron chrysopterum,Garrulax chrysopterus,1BL to 1BT
Trochalopteron elliotii,Garrulax elliotii,1BL to 1BT
Trochalopteron erythrocephalum,Garrulax erythrocephalus,1BL to 1BT
Trochalopteron formosum,Garrulax formosus,1BL to 1BT
Trochalopteron henrici,Garrulax henrici,1BL to 1BT
Trochalopteron imbricatum,Garrulax imbricatus,1BL to 1BT
Trochalopteron lineatum,Garrulax lineatus,1BL to 1BT
Trochalopteron melanostigma,Garrulax melanostigma,1BL to 1BT
Trochalopteron milnei,Garrulax milnei,1BL to 1BT
Trochalopteron morrisonianum,Garrulax morrisonianus,1BL to 1BT
Trochalopteron ngoclinhense,Garrulax ngoclinhensis,1BL to 1BT
Trochalopteron peninsulae,Garrulax peninsulae,1BL to 1BT
Trochalopteron squamatum,Garrulax squamatus,1BL to 1BT
Trochalopteron subunicolor,Garrulax subunicolor,1BL to 1BT
Trochalopteron variegatum,Garrulax variegatus,1BL to 1BT
Trochalopteron virgatum,Garrulax virgatus,1BL to 1BT
Trochalopteron yersini,Garrulax yersini,1BL to 1BT
Trochilus polytmus,Trochilus polytmus,1BL to 1BT
Trochilus scitulus,Trochilus scitulus,1BL to 1BT
Trochocercus bivittatus,Trochocercus cyanomelas,Many BL to 1BT
Trochocercus cyanomelas,Trochocercus cyanomelas,Many BL to 1BT
Trochocercus nitens,Trochocercus nitens,1BL to 1BT
Troglodytes aedon,Troglodytes aedon,Many BL to 1BT
Troglodytes beani,Troglodytes aedon,Many BL to 1BT
Troglodytes cobbi,Troglodytes cobbi,1BL to 1BT
Troglodytes hiemalis,Troglodytes troglodytes,Many BL to 1BT
Troglodytes monticola,Troglodytes monticola,1BL to 1BT
Troglodytes ochraceus,Troglodytes ochraceus,1BL to 1BT
Troglodytes pacificus,Troglodytes troglodytes,Many BL to 1BT
Troglodytes rufociliatus,Troglodytes rufociliatus,1BL to 1BT
Troglodytes rufulus,Troglodytes rufulus,1BL to 1BT
Troglodytes sissonii,Troglodytes sissonii,1BL to 1BT
Troglodytes solstitialis,Troglodytes solstitialis,1BL to 1BT
Troglodytes tanneri,Troglodytes tanneri,1BL to 1BT
Troglodytes troglodytes,Troglodytes troglodytes,Many BL to 1BT
Trogon ambiguus,Trogon elegans,Many BL to 1BT
Trogon aurantius,Trogon surrucura,Many BL to 1BT
Trogon bairdii,Trogon bairdii,1BL to 1BT
Trogon chionurus,Trogon chionurus,1BL to 1BT
Trogon citreolus,Trogon citreolus,1BL to 1BT
Trogon clathratus,Trogon clathratus,1BL to 1BT
Sericornis nouhuysi,Sericornis nouhuysi,1BL to many BT
Serpophaga subcristata,Serpophaga subcristata,1BL to many BT
Trogon comptus,Trogon comptus,1BL to 1BT
Trogon curucui,Trogon curucui,1BL to 1BT
Trogon elegans,Trogon elegans,Many BL to 1BT
Trogon massena,Trogon massena,1BL to 1BT
Trogon melanocephalus,Trogon melanocephalus,1BL to 1BT
Trogon melanurus,Trogon melanurus,1BL to 1BT
Trogon mesurus,Trogon mesurus,1BL to 1BT
Trogon mexicanus,Trogon mexicanus,1BL to 1BT
Trogon personatus,Trogon personatus,1BL to 1BT
Trogon rufus,Trogon rufus,1BL to 1BT
Trogon surrucura,Trogon surrucura,Many BL to 1BT
Sporophila ruficollis,Sporophila ruficollis,1BL to many BT
Cyanoderma rufifrons,Stachyris rufifrons,1BL to many BT
Trogon viridis,Trogon viridis,1BL to 1BT
Trugon terrestris,Trugon terrestris,1BL to 1BT
Tunchiornis luteifrons,Hylophilus ochraceiceps,Many BL to 1BT
Tunchiornis ochraceiceps,Hylophilus ochraceiceps,Many BL to 1BT
Turacoena manadensis,Turacoena manadensis,Many BL to 1BT
Turacoena modesta,Turacoena modesta,1BL to 1BT
Turacoena sulaensis,Turacoena manadensis,Many BL to 1BT
Turdinus atrigularis,Turdinus atrigularis,1BL to 1BT
Turdinus brevicaudatus,Napothera brevicaudata,1BL to 1BT
Turdinus calcicola,Gypsophila crispifrons,Many BL to 1BT
Turdinus crassus,Napothera crassa,1BL to 1BT
Turdinus crispifrons,Gypsophila crispifrons,Many BL to 1BT
Turdinus macrodactylus,Turdinus macrodactylus,1BL to 1BT
Turdinus marmoratus,Turdinus marmorata,1BL to 1BT
Turdinus rufipectus,Turdinus rufipectus,1BL to 1BT
Turdoides affinis,Turdoides affinis,1BL to 1BT
Turdoides bicolor,Turdoides bicolor,1BL to 1BT
Turdoides gymnogenys,Turdoides gymnogenys,1BL to 1BT
Turdoides hartlaubii,Turdoides hartlaubii,1BL to 1BT
Turdoides hindei,Turdoides hindei,1BL to 1BT
Turdoides hypoleuca,Turdoides hypoleuca,1BL to 1BT
Turdoides jardineii,Turdoides jardineii,1BL to 1BT
Turdoides leucocephala,Turdoides leucocephala,1BL to 1BT
Turdoides leucopygia,Turdoides leucopygia,1BL to 1BT
Turdoides melanops,Turdoides melanops,1BL to 1BT
Turdoides plebejus,Turdoides plebejus,1BL to 1BT
Turdoides reinwardtii,Turdoides reinwardii,1BL to 1BT
Turdoides rufescens,Turdoides rufescens,1BL to 1BT
Turdoides sharpei,Turdoides sharpei,1BL to 1BT
Turdoides somervillei,Turdoides striata,Many BL to 1BT
Turdoides squamulata,Turdoides squamulata,1BL to 1BT
Turdoides striata,Turdoides striata,Many BL to 1BT
Turdoides tenebrosa,Turdoides tenebrosa,1BL to 1BT
Turdus abyssinicus,Turdus olivaceus,Many BL to 1BT
Strix uralensis,Strix uralensis,1BL to many BT
Sylvia curruca,Sylvia curruca,1BL to many BT
Turdus albocinctus,Turdus albocinctus,1BL to 1BT
Turdus amaurochalinus,Turdus amaurochalinus,1BL to 1BT
Turdus anthracinus,Turdus chiguanco,Many BL to 1BT
Turdus ardosiaceus,Turdus plumbeus,Many BL to 1BT
Turdus arthuri,Turdus ignobilis,Many BL to 1BT
Turdus assimilis,Turdus assimilis,1BL to 1BT
Turdus atrogularis,Turdus ruficollis,Many BL to 1BT
Turdus aurantius,Turdus aurantius,1BL to 1BT
Turdus bewsheri,Turdus bewsheri,1BL to 1BT
Turdus boulboul,Turdus boulboul,1BL to 1BT
Turdus cardis,Turdus cardis,1BL to 1BT
Turdus celaenops,Turdus celaenops,1BL to 1BT
Turdus chiguanco,Turdus chiguanco,Many BL to 1BT
Turdus chrysolaus,Turdus chrysolaus,1BL to 1BT
Turdus confinis,Turdus migratorius,Many BL to 1BT
Turdus debilis,Turdus ignobilis,Many BL to 1BT
Turdus dissimilis,Turdus dissimilis,1BL to 1BT
Turdus eremita,Nesocichla eremita,1BL to 1BT
Turdus eunomus,Turdus naumanni,Many BL to 1BT
Turdus falcklandii,Turdus falcklandii,1BL to 1BT
Turdus feae,Turdus feae,1BL to 1BT
Turdus flavipes,Turdus flavipes,1BL to 1BT
Turdus fulviventris,Turdus fulviventris,1BL to 1BT
Turdus fumigatus,Turdus fumigatus,1BL to 1BT
Turdus fuscater,Turdus fuscater,1BL to 1BT
Turdus grayi,Turdus grayi,1BL to 1BT
Turdus haplochrous,Turdus haplochrous,1BL to 1BT
Turdus hauxwelli,Turdus hauxwelli,Many BL to 1BT
Turdus helleri,Turdus helleri,1BL to 1BT
Turdus hortulorum,Turdus hortulorum,1BL to 1BT
Turdus ignobilis,Turdus ignobilis,Many BL to 1BT
Turdus iliacus,Turdus iliacus,1BL to 1BT
Turdus infuscatus,Turdus infuscatus,1BL to 1BT
Turdus jamaicensis,Turdus jamaicensis,1BL to 1BT
Turdus kessleri,Turdus kessleri,1BL to 1BT
Turdus lawrencii,Turdus lawrencii,1BL to 1BT
Turdus leucomelas,Turdus leucomelas,1BL to 1BT
Turdus leucops,Turdus leucops,1BL to 1BT
Turdus lherminieri,Turdus lherminieri,1BL to 1BT
Turdus libonyana,Turdus libonyanus,1BL to 1BT
Turdus ludoviciae,Turdus ludoviciae,1BL to 1BT
Turdus maculirostris,Turdus maculirostris,1BL to 1BT
Turdus mandarinus,Turdus merula,Many BL to 1BT
Turdus maranonicus,Turdus maranonicus,1BL to 1BT
Turdus maximus,Turdus merula,Many BL to 1BT
Turdus menachensis,Turdus menachensis,1BL to 1BT
Turdus merula,Turdus merula,Many BL to 1BT
Turdus migratorius,Turdus migratorius,Many BL to 1BT
Turdus naumanni,Turdus naumanni,Many BL to 1BT
Turdus nigrescens,Turdus nigrescens,1BL to 1BT
Turdus nigriceps,Turdus nigriceps,1BL to 1BT
Turdus niveiceps,Turdus poliocephalus,Many BL to 1BT
Turdus nudigenis,Turdus nudigenis,1BL to 1BT
Turdus obscurus,Turdus obscurus,1BL to 1BT
Turdus obsoletus,Turdus obsoletus,1BL to 1BT
Turdus olivaceofuscus,Turdus olivaceofuscus,Many BL to 1BT
Turdus olivaceus,Turdus olivaceus,Many BL to 1BT
Turdus olivater,Turdus olivater,1BL to 1BT
Turdus pallidus,Turdus pallidus,1BL to 1BT
Turdus pelios,Turdus pelios,1BL to 1BT
Turdus philomelos,Turdus philomelos,1BL to 1BT
Turdus pilaris,Turdus pilaris,1BL to 1BT
Turdus plebejus,Turdus plebejus,1BL to 1BT
Turdus plumbeus,Turdus plumbeus,Many BL to 1BT
Turdus poliocephalus,Turdus poliocephalus,Many BL to 1BT
Turdus ravidus,NA ,Extinct
Turdus reevei,Turdus reevei,1BL to 1BT
Turdus roehli,Turdus olivaceus,Many BL to 1BT
Turdus rubripes,Turdus plumbeus,Many BL to 1BT
Turdus rubrocanus,Turdus rubrocanus,1BL to 1BT
Turdus ruficollis,Turdus ruficollis,Many BL to 1BT
Turdus rufitorques,Turdus rufitorques,1BL to 1BT
Turdus rufiventris,Turdus rufiventris,1BL to 1BT
Turdus rufopalliatus,Turdus rufopalliatus,1BL to 1BT
Turdus sanchezorum,Turdus hauxwelli,Many BL to 1BT
Turdus serranus,Turdus serranus,1BL to 1BT
Turdus simillimus,Turdus merula,Many BL to 1BT
Turdus smithi,Turdus olivaceus,Many BL to 1BT
Turdus subalaris,Turdus subalaris,1BL to 1BT
Turdus swalesi,Turdus swalesi,1BL to 1BT
Turdus tephronotus,Turdus tephronotus,1BL to 1BT
Turdus torquatus,Turdus torquatus,1BL to 1BT
Turdus unicolor,Turdus unicolor,1BL to 1BT
Turdus viscivorus,Turdus viscivorus,1BL to 1BT
Turdus xanthorhynchus,Turdus olivaceofuscus,Many BL to 1BT
Turnagra capensis,NA ,Extinct
Turnagra tanagra,NA ,Extinct
Turnix castanotus,Turnix castanotus,1BL to 1BT
Turnix everetti,Turnix everetti,1BL to 1BT
Turnix hottentottus,Turnix hottentottus,Many BL to 1BT
Turnix maculosus,Turnix maculosus,1BL to 1BT
Turnix melanogaster,Turnix melanogaster,1BL to 1BT
Turnix nanus,Turnix hottentottus,Many BL to 1BT
Turnix nigricollis,Turnix nigricollis,1BL to 1BT
Turnix novaecaledoniae,Turnix varius,Many BL to 1BT
Turnix ocellatus,Turnix ocellatus,1BL to 1BT
Turnix olivii,Turnix olivii,1BL to 1BT
Turnix pyrrhothorax,Turnix pyrrhothorax,1BL to 1BT
Turnix suscitator,Turnix suscitator,1BL to 1BT
Turnix sylvaticus,Turnix sylvaticus,1BL to 1BT
Turnix tanki,Turnix tanki,1BL to 1BT
Turnix varius,Turnix varius,Many BL to 1BT
Turnix velox,Turnix velox,1BL to 1BT
Turnix worcesteri,Turnix worcesteri,1BL to 1BT
Turtur abyssinicus,Turtur abyssinicus,1BL to 1BT
Turtur afer,Turtur afer,1BL to 1BT
Turtur brehmeri,Turtur brehmeri,1BL to 1BT
Turtur chalcospilos,Turtur chalcospilos,1BL to 1BT
Turtur tympanistria,Turtur tympanistria,1BL to 1BT
Tychaedon barbata,Erythropygia barbata,1BL to 1BT
Tychaedon coryphoeus,Erythropygia coryphaeus,1BL to 1BT
Tychaedon leucosticta,Erythropygia leucosticta,1BL to 1BT
Tychaedon quadrivirgata,Erythropygia quadrivirgata,1BL to 1BT
Tychaedon signata,Erythropygia signata,1BL to 1BT
Tylas eduardi,Tylas eduardi,1BL to 1BT
Tympanuchus cupido,Tympanuchus cupido,1BL to 1BT
Tympanuchus pallidicinctus,Tympanuchus pallidicinctus,1BL to 1BT
Tympanuchus phasianellus,Tympanuchus phasianellus,1BL to 1BT
Tyranneutes stolzmanni,Tyranneutes stolzmanni,1BL to 1BT
Tyranneutes virescens,Tyranneutes virescens,1BL to 1BT
Tyrannopsis sulphurea,Tyrannopsis sulphurea,1BL to 1BT
Tyrannulus elatus,Tyrannulus elatus,1BL to 1BT
Tyrannus albogularis,Tyrannus albogularis,1BL to 1BT
Tyrannus caudifasciatus,Tyrannus caudifasciatus,1BL to 1BT
Tyrannus couchii,Tyrannus couchii,1BL to 1BT
Tyrannus crassirostris,Tyrannus crassirostris,1BL to 1BT
Tyrannus cubensis,Tyrannus cubensis,1BL to 1BT
Tyrannus dominicensis,Tyrannus dominicensis,1BL to 1BT
